+--------------------------------------------------+------------------------+-----------------------+------------------------+
|                     formula                      |   operand 1 nnz (%)    |   operand 2 nnz (%)   |     result nnz (%)     |
|                    ÜÛ,Ûi->Üi                     |     2 / 4 (50.00)      |     3 / 4 (75.00)     |     3 / 4 (75.00)      |
|                    Üi,bÜ->ib                     |     3 / 4 (75.00)      |     3 / 4 (75.00)     |     3 / 4 (75.00)      |
|                    ib,bi->ib                     |     3 / 4 (75.00)      |     3 / 4 (75.00)     |     3 / 4 (75.00)      |
|                   ǨǧǦ,ǨǧǦ->ǨǦ                    |     7 / 8 (87.50)      |     7 / 8 (87.50)     |     4 / 4 (100.00)     |
|                     ǨǦ,Ǩ->Ǧ                      |     4 / 4 (100.00)     |     1 / 2 (50.00)     |     2 / 2 (100.00)     |
|                     Ǧ,Ǧi->Ǧi                     |     2 / 2 (100.00)     |     3 / 4 (75.00)     |     3 / 4 (75.00)      |
|                    Ǧi,ǦǪ->iǪ                     |     3 / 4 (75.00)      |     3 / 4 (75.00)     |     4 / 4 (100.00)     |
|                   ǫǪǩ,ǫǪǩ->ǫǪǩ                   |     7 / 8 (87.50)      |     7 / 8 (87.50)     |     6 / 8 (75.00)      |
|                    ǫǪǩ,ǫ->Ǫǩ                     |     6 / 8 (75.00)      |     1 / 2 (50.00)     |     2 / 4 (50.00)      |
|                    Ǫǩ,ǩi->Ǫi                     |     2 / 4 (50.00)      |     3 / 4 (75.00)     |     3 / 4 (75.00)      |
|                     Ǫi,iǪ->i                     |     3 / 4 (75.00)      |     4 / 4 (100.00)    |     2 / 2 (100.00)     |
|                     i,ib->ib                     |     2 / 2 (100.00)     |     3 / 4 (75.00)     |     3 / 4 (75.00)      |
|                   dcb,dcb->db                    |     7 / 8 (87.50)      |     7 / 8 (87.50)     |     4 / 4 (100.00)     |
|                     db,d->b                      |     4 / 4 (100.00)     |     1 / 2 (50.00)     |     2 / 2 (100.00)     |
|                     b,bÐ->bÐ                     |     2 / 2 (100.00)     |     3 / 4 (75.00)     |     3 / 4 (75.00)      |
|                   ÑÐÏ,ÑÐÏ->ÑÐÏ                   |     7 / 8 (87.50)      |     7 / 8 (87.50)     |     6 / 8 (75.00)      |
|                    ÑÐÏ,Ñ->ÐÏ                     |     6 / 8 (75.00)      |     1 / 2 (50.00)     |     2 / 4 (50.00)      |
|                    ÐÏ,bÐ->Ïb                     |     2 / 4 (50.00)      |     3 / 4 (75.00)     |     3 / 4 (75.00)      |
|                   ȆȅȄ,ȆȅȄ->ȆȅȄ                   |     7 / 8 (87.50)      |     7 / 8 (87.50)     |     6 / 8 (75.00)      |
|                    ȆȅȄ,Ȇ->ȅȄ                     |     6 / 8 (75.00)      |     1 / 2 (50.00)     |     2 / 4 (50.00)      |
|                    ȅȄ,Ïȅ->ȄÏ                     |     2 / 4 (50.00)      |     3 / 4 (75.00)     |     3 / 4 (75.00)      |
|                    ȄÏ,Ȅi->Ïi                     |     3 / 4 (75.00)      |     3 / 4 (75.00)     |     3 / 4 (75.00)      |
|                    Ïi,Ïi->Ïi                     |     3 / 4 (75.00)      |     3 / 4 (75.00)     |     3 / 4 (75.00)      |
|                    Ïi,Ïb->ib                     |     3 / 4 (75.00)      |     3 / 4 (75.00)     |     3 / 4 (75.00)      |
|                    ib,ib->ib                     |     3 / 4 (75.00)      |     3 / 4 (75.00)     |     3 / 4 (75.00)      |
|           ib,wbñiuĻļßÉǕë->ibwñuĻļßÉǕë            |     3 / 4 (75.00)      |    82 / 2048 (4.00)   |    82 / 2048 (4.00)    |
|           ibwñuĻļßÉǕë,bë->ibwñuĻļßÉǕë            |    82 / 2048 (4.00)    |     3 / 4 (75.00)     |    78 / 2048 (3.81)    |
|                   ĖĕĔ,ĖĕĔ->ĖĕĔ                   |     7 / 8 (87.50)      |     7 / 8 (87.50)     |     6 / 8 (75.00)      |
|                    ĖĕĔ,Ė->ĕĔ                     |     6 / 8 (75.00)      |     1 / 2 (50.00)     |     2 / 4 (50.00)      |
|                    ĕĔ,wĕ->Ĕw                     |     2 / 4 (50.00)      |     3 / 4 (75.00)     |     3 / 4 (75.00)      |
|           Ĕw,ibwñuĻļßÉǕë->ĔibñuĻļßÉǕë            |     3 / 4 (75.00)      |    78 / 2048 (3.81)   |    82 / 2048 (4.00)    |
|           ĔibñuĻļßÉǕë,bñ->ĔibñuĻļßÉǕë            |    82 / 2048 (4.00)    |     3 / 4 (75.00)     |    80 / 2048 (3.91)    |
|           ĔibñuĻļßÉǕë,bY->ĔibñuĻļßÉǕëY           |    80 / 2048 (3.91)    |     3 / 4 (75.00)     |   156 / 4096 (3.81)    |
|          ĔibñuĻļßÉǕëY,bl->ĔibñuĻļßÉǕëYl          |   156 / 4096 (3.81)    |     3 / 4 (75.00)     |   308 / 8192 (3.76)    |
|                   mlk,mlk->mlk                   |     7 / 8 (87.50)      |     7 / 8 (87.50)     |     6 / 8 (75.00)      |
|                    mlk,m->lk                     |     6 / 8 (75.00)      |     1 / 2 (50.00)     |     2 / 4 (50.00)      |
|                    lk,ki->li                     |     2 / 4 (50.00)      |     3 / 4 (75.00)     |     3 / 4 (75.00)      |
|         li,ĔibñuĻļßÉǕëYl->liĔbñuĻļßÉǕëY          |     3 / 4 (75.00)      |   308 / 8192 (3.76)   |   292 / 8192 (3.56)    |
|         liĔbñuĻļßÉǕëY,Ĳl->iĔbñuĻļßÉǕëYĲ          |   292 / 8192 (3.56)    |     3 / 4 (75.00)     |   296 / 8192 (3.61)    |
|         iĔbñuĻļßÉǕëYĲ,ĲY->iĔbñuĻļßÉǕëYĲ          |   296 / 8192 (3.61)    |     3 / 4 (75.00)     |   228 / 8192 (2.78)    |
|         iĔbñuĻļßÉǕëYĲ,Ĳë->iĔbñuĻļßÉǕëYĲ          |   228 / 8192 (2.78)    |     3 / 4 (75.00)     |   196 / 8192 (2.39)    |
|         iĔbñuĻļßÉǕëYĲ,Ĳñ->iĔbñuĻļßÉǕëYĲ          |   196 / 8192 (2.39)    |     3 / 4 (75.00)     |   180 / 8192 (2.20)    |
|         iĔbñuĻļßÉǕëYĲ,Ĳu->iĔbñuĻļßÉǕëYĲ          |   180 / 8192 (2.20)    |     3 / 4 (75.00)     |   168 / 8192 (2.05)    |
|         iĔbñuĻļßÉǕëYĲ,Ĳi->iĔbñuĻļßÉǕëYĲ          |   168 / 8192 (2.05)    |     3 / 4 (75.00)     |   168 / 8192 (2.05)    |
|         iĔbñuĻļßÉǕëYĲ,Ĳļ->iĔbñuĻļßÉǕëYĲ          |   168 / 8192 (2.05)    |     3 / 4 (75.00)     |   168 / 8192 (2.05)    |
|         iĔbñuĻļßÉǕëYĲ,ƿļ->iĔbñuĻßÉǕëYĲƿ          |   168 / 8192 (2.05)    |     3 / 4 (75.00)     |   256 / 8192 (3.12)    |
|         iĔbñuĻßÉǕëYĲƿ,ƿi->iĔbñuĻßÉǕëYĲƿ          |   256 / 8192 (3.12)    |     3 / 4 (75.00)     |   256 / 8192 (3.12)    |
|         iĔbñuĻßÉǕëYĲƿ,ƿu->iĔbñuĻßÉǕëYĲƿ          |   256 / 8192 (3.12)    |     3 / 4 (75.00)     |   224 / 8192 (2.73)    |
|                   ǁǀƿ,ǁǀƿ->ǁƿ                    |     7 / 8 (87.50)      |     7 / 8 (87.50)     |     4 / 4 (100.00)     |
|                     ǁƿ,ǁ->ƿ                      |     4 / 4 (100.00)     |     1 / 2 (50.00)     |     2 / 2 (100.00)     |
|                     ƿ,ƿÙ->ƿÙ                     |     2 / 2 (100.00)     |     3 / 4 (75.00)     |     3 / 4 (75.00)      |
|         ƿÙ,iĔbñuĻßÉǕëYĲƿ->ÙiĔbñuĻßÉǕëYĲ          |     3 / 4 (75.00)      |   224 / 8192 (2.73)   |   336 / 8192 (4.10)    |
|         ÙiĔbñuĻßÉǕëYĲ,bÙ->ÙiĔbñuĻßÉǕëYĲ          |   336 / 8192 (4.10)    |     3 / 4 (75.00)     |   328 / 8192 (4.00)    |
|                   ǺǹǸ,ǺǹǸ->ǺǸ                    |     7 / 8 (87.50)      |     7 / 8 (87.50)     |     4 / 4 (100.00)     |
|                     ǺǸ,Ǻ->Ǹ                      |     4 / 4 (100.00)     |     1 / 2 (50.00)     |     2 / 2 (100.00)     |
|                     Ǹ,ǸÙ->ǸÙ                     |     2 / 2 (100.00)     |     3 / 4 (75.00)     |     3 / 4 (75.00)      |
|                    ǸÙ,Ǹi->Ùi                     |     3 / 4 (75.00)      |     3 / 4 (75.00)     |     4 / 4 (100.00)     |
|                   ÚÙØ,ÚÙØ->ÚÙØ                   |     7 / 8 (87.50)      |     7 / 8 (87.50)     |     6 / 8 (75.00)      |
|                    ÚÙØ,Ú->ÙØ                     |     6 / 8 (75.00)      |     1 / 2 (50.00)     |     2 / 4 (50.00)      |
|                    ÙØ,Øi->Ùi                     |     2 / 4 (50.00)      |     3 / 4 (75.00)     |     3 / 4 (75.00)      |
|                    Ùi,Ùi->Ùi                     |     3 / 4 (75.00)      |     4 / 4 (100.00)    |     3 / 4 (75.00)      |
|         Ùi,ÙiĔbñuĻßÉǕëYĲ->ÙiĔbñuĻßÉǕëYĲ          |     3 / 4 (75.00)      |   328 / 8192 (4.00)   |   312 / 8192 (3.81)    |
|         ÙiĔbñuĻßÉǕëYĲ,Êu->ÙiĔbñĻßÉǕëYĲÊ          |   312 / 8192 (3.81)    |     3 / 4 (75.00)     |   352 / 8192 (4.30)    |
|         ÙiĔbñĻßÉǕëYĲÊ,ĲÙ->ÙiĔbñĻßÉǕëYĲÊ          |   352 / 8192 (4.30)    |     3 / 4 (75.00)     |   336 / 8192 (4.10)    |
|         ÙiĔbñĻßÉǕëYĲÊ,ÊǕ->ÙiĔbñĻßÉǕëYĲÊ          |   336 / 8192 (4.10)    |     3 / 4 (75.00)     |   336 / 8192 (4.10)    |
|         ÙiĔbñĻßÉǕëYĲÊ,Êi->ÙiĔbñĻßÉǕëYĲÊ          |   336 / 8192 (4.10)    |     3 / 4 (75.00)     |   336 / 8192 (4.10)    |
|         ÙiĔbñĻßÉǕëYĲÊ,Êß->ÙiĔbñĻßÉǕëYĲÊ          |   336 / 8192 (4.10)    |     3 / 4 (75.00)     |   288 / 8192 (3.52)    |
|                   ǖǕǔ,ǖǕǔ->ǖǕǔ                   |     7 / 8 (87.50)      |     7 / 8 (87.50)     |     6 / 8 (75.00)      |
|                    ǖǕǔ,ǖ->Ǖǔ                     |     6 / 8 (75.00)      |     1 / 2 (50.00)     |     2 / 4 (50.00)      |
|         Ǖǔ,ÙiĔbñĻßÉǕëYĲÊ->ǔÙiĔbñĻßÉëYĲÊ          |     2 / 4 (50.00)      |   288 / 8192 (3.52)   |   288 / 8192 (3.52)    |
|         ǔÙiĔbñĻßÉëYĲÊ,ǔi->ǔÙiĔbñĻßÉëYĲÊ          |   288 / 8192 (3.52)    |     3 / 4 (75.00)     |   280 / 8192 (3.42)    |
|         ǔÙiĔbñĻßÉëYĲÊ,ǔŸ->ÙiĔbñĻßÉëYĲÊŸ          |   280 / 8192 (3.42)    |     3 / 4 (75.00)     |   288 / 8192 (3.52)    |
|         ÙiĔbñĻßÉëYĲÊŸ,ĻŸ->ÙiĔbñĻßÉëYĲÊŸ          |   288 / 8192 (3.52)    |     3 / 4 (75.00)     |   288 / 8192 (3.52)    |
|                   ƣƢơ,ƣƢơ->ƣƢơ                   |     7 / 8 (87.50)      |     7 / 8 (87.50)     |     6 / 8 (75.00)      |
